,title,runtime,mpaa_rating,theatrical_release,director,actor,plot
521,Open Season,83,PG,2006-09-29,"Roger Allers, Jill Culton","Martin Lawrence, Ashton Kutcher, Gary Sinise, Jane Krakowski, Debra Messing","A happily domesticated grizzly bear named Boog, has his perfect world turned upside down after he meets Elliot, a scrawny, fast-talking one-horned wild mule deer. They both end up stranded together in the woods during hunting season and it's up to the duo to rally all the other forest animals and turn the tables on the hunters."
522,Over the Hedge,84,PG,2006-05-19,"Tim Johnson, Karey Kirkpatrick","Bruce Willis, Garry Shandling, Steve Carell, William Shatner, Wanda Sykes","A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself."
523,Pan's Labyrinth,115,R,2006-12-29,Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi Lopez, Maribel Verdu, Alex Angulo","In 1944 falangist Spain, a girl, fascinated with fairy-tales, is sent along with her pregnant mother to live with her new stepfather, a ruthless captain of the Spanish army. During the night, she meets a fairy who takes her to an old faun in the center of the labyrinth. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks. If she fails, she will never prove herself to be the the true princess and will never see her real father, the king, again."
524,Phat Girlz,99,PG-13,2006-04-07,Nnegest Likke,"Mo'Nique, Jimmy Jean-Louis, Godfrey, Kendra C. Johnson, Joyful Drake",Two plus-sized ladies meet the men of their dreams in the most unexpected of ways.
525,Pirates of the Caribbean: Dead Man's Chest,151,PG-13,2006-07-07,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport, Bill Nighy","Once again we're plunged into the world of sword fights and ""savvy"" pirates. Captain Jack Sparrow is reminded he owes a debt to Davy Jones, who captains the flying Dutchman, a ghostly ship, with a crew from hell. Facing the ""locker"" Jack must find the heart of Davy Jones but to save himself he must get the help of quick-witted Will Turner and Elizabeth Swan. If that's not complicated enough, Will and Elizabeth are sentenced to hang, unless will can get Lord Cutler Beckett Jack's compass, Will is forced to join another crazy adventure with Jack."
526,Poseidon,99,PG-13,2006-05-12,Wolfgang Petersen,"Kurt Russell, Josh Lucas, Richard Dreyfuss, Andre Braugher, Mia Maestro","On New Year's Eve, the luxury ocean liner Poseidon capsizes after being swamped by a rogue wave. The survivors are left to fight for their lives as they attempt to escape the sinking ship."
527,Pulse,85,PG-13,2006-08-11,Jim Sonzero,"Kristen Bell, Ian Somerhalder, Christina Milian, Rick Gonzalez, Jonathan Tucker","The hacker Josh invades the computer of Douglas Ziegler, who is developing a powerful wireless signal, and accidentally releases a mysterious force that takes the will to live of human beings, generating a suicide epidemic and increasing the force. His girlfriend and student of psychology, Mattie, sees each one of their common friends die and the destruction of the modern world, and together with her new acquaintance Dexter, they try to plan a virus developed by Josh in the network to shutdown the system and save mankind."
528,RV,99,PG,2006-04-28,Barry Sonnenfeld,"Robin Williams, Cheryl Hines, Josh Hutcherson, Jeff Daniels, Joanna 'JoJo' Levesque","Bob Munro and his dysfunctional family rent an RV for a road trip to the Colorado Rockies, where they ultimately have to contend with a bizarre community of campers."
529,Rocky Balboa,101,PG,2006-12-22,Sylvester Stallone,"Burt Young, Milo Ventimiglia, Geraldine Hughes, Antonio Tarver, Sylvester Stallone","Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight; against the reigning heavyweight champ Mason 'The Line' Dixon."
530,Running Scared,119,R,2006-02-24,Wayne Kramer,"Paul Walker, Cameron Bright, Vera Farmiga, Karel Roden, Johnny Messner","After a drug-op gone bad, Joey Gazelle is put in charge of disposing the gun that shot a dirty cop. But things go wrong for Joey after a neighbor kid stole the gun and used it to shoot his abusive father. Now Joey has to find that kid and the gun before the police and the mob do."
531,Saw III,108,R,2006-10-27,Darren Lynn Bousman,"Tobin Bell, Shawnee Smith, Angus Macfadyen, Bahar Soomekh, Dina Meyer","Jeff is an anguished man, who grieves and misses his young son that was killed by a driver in a car accident. He has become obsessed for revenge against the man and reckless with his wife and daughter. When Dr. Lynn Denlon, who has troubles with her marriage, is abducted by the deranged Jigsaw's apprentice Amanda, she is brought to a gruesome warehouse to keep John Kramer alive in spite of having a terminal brain tumor. Amanda puts a necklace gadget full of explosives around Dr. Lynn's neck connected to John Kramer's life support system, and tells her that if he dies the device will explode. Meanwhile, Jeff is submitted to a sick game of forgiveness with surprising dark consequences."
532,Scary Movie 4,83,PG-13,2006-04-14,David Zucker,"Anthony Anderson, Craig Bierko, Carmen Electra, Chris Elliott, Anna Faris","The unemployed Cindy Campbell is hired to work in a cursed house as caretaker of an old lady and meets the ghost of a boy. Meanwhile, the teenager son Robbie and the young daughter Rachel of his next door neighbor and crane operator Tom Ryan are spending the weekend with their loser father. Cindy and Tom meet and fall in love for each other, but when Giant Tripods invade Earth, Tom escapes with Robbie and Rachel; Cindy travels to a village, trying to find the answer to a riddle to save the world; and the president of USA organizes the defense of the planet in UN under his intelligence and leadership."
533,School for Scoundrels,101,PG-13,2006-09-23,Todd Phillips,"Billy Bob Thornton, Jon Heder, Jacinda Barrett, Michael Clarke Duncan, Horatio Sanz",An unlucky meter reader enrolls in a confidence-building class so he can win the love of the girl of his dreams. The class turns out to be something quite different when it becomes clear to the young man that his professor has his sights set on the same girl.
534,Scoop,96,PG-13,2006-07-28,Woody Allen,"Woody Allen, Hugh Jackman, Scarlett Johansson, Ian McShane, Charles Dance","In the funeral of the famous British journalist Joe Strombel, his colleagues and friends recall how obstinate he was while seeking for a scoop. Meanwhile the deceased Joe discloses the identity of the tarot card serial killer of London. He cheats the Reaper and appears to the American student of journalism Sondra Pransky, who is on the stage in the middle of a magic show of the magician Sidney Waterman in London, and tells her that the murderer is the aristocrat Peter Lyman. Sondra drags Sid in her investigation, seeking for evidences that Peter is the killer. However, she falls in love with him and questions if Joe Strombel is right in his scoop."
535,See No Evil,84,R,2006-05-19,Gregory Dark,"Glenn 'Kane' Jacobs, Christina Vidal, Michael J. Pagan, Rachael Taylor, Samantha Noble","While investigating a call in an abandoned house, Officer Frank Williams and a rookie find a woman brutally blinded, but they are attacked by a huge psychopath with an ax; the rookie is killed and Frank shoots the criminal in the head, but has a severed arm. Four years later, the mutilated Frank is relocated, working as a guard in the County Detention Center. Frank goes with some delinquents to the Blackwell Hotel, an abandoned place since a fire burnt the last two floors, with the purpose of cleaning the location, preparing it to work as a shelter for the homeless; in return, the criminals will have their sentences reduced. During the night, the inmate Kira who has some Christian tattoos on her body is kidnapped by the deranged serial-killer Kane who collects the eyes of his victims, while the rest of the group is attacked by the psychopath with his ax."
536,She's the Man,105,PG-13,2006-03-17,Andy Fickman,"Amanda Bynes, Channing Tatum, Laura Ramsey, Vinnie Jones, Robert Hoffman","When her brother decides to ditch for a couple weeks in London, Viola heads over to his elite boarding school, disguises herself as him, and proceeds to fall for one of her soccer teammates. Little does she realize she's not the only one with romantic troubles, as she, as he, gets in the middle of a series of intermingled love affairs."
537,Silent Hill,125,R,2006-04-21,Christophe Gans,"Radha Mitchell, Sean Bean, Laurie Holden, Deborah Kara Unger, Kim Coates","A little girl who doesn't get enough sleep wakes up every night screaming ""silent hill."" One day her mother, driving through a thick fog, loses her daughter in a parallel world which hell itself would just not tolerate. Through all those atrocities and lack of trust, her daughter is living the biggest nightmare of her life."
